,1_23-24,2_24-01,3_01-02,4_02-03,4_03-04,5_04-05,6_05-06
0,7,2,1,5,1,3,2
1,6,2,2,5,1,0,2
2,9,2,1,5,2,2,0
3,2,2,1,3,2,3,2
4,2,1,1,3,1,3,0
5,2,3,3,3,2,3,2
6,4,8,4,2,4,8,3
7,4,8,4,1,4,8,5
8,3,8,4,2,4,8,5
9,10,6,3,1,3,8,5
10,10,8,3,1,3,10,5
11,8,9,3,1,4,7,5
12,2,2,3,2,5,6,2
13,3,2,2,2,7,3,2
14,2,2,3,3,7,3,2
15,2,5,2,3,3,2,4
16,3,5,2,4,5,3,4
17,2,5,2,4,6,2,4
18,2,2,2,4,2,2,5
19,5,2,3,4,1,2,4
20,3,2,3,2,1,2,5
21,3,2,1,2,4,3,2
22,3,2,2,2,3,2,3
23,4,3,2,1,2,2,2
24,2,3,4,4,2,2,2
25,2,5,3,4,2,1,2
26,4,5,4,4,2,2,2
27,2,5,5,2,2,4,2
28,3,5,5,2,2,4,2
29,2,5,4,2,4,3,2
30,3,5,2,2,2,4,1
31,2,5,0,2,2,4,4
32,2,6,2,2,2,5,3
33,8,4,4,2,2,5,2
34,8,3,4,2,2,5,1
35,8,3,4,2,2,5,1
36,2,6,3,2,2,4,2
37,3,6,2,2,2,6,2
38,2,6,2,2,0,0,2
39,2,5,2,2,1,2,2
40,2,4,2,2,4,2,2
41,2,4,2,0,4,2,2
42,2,2,4,2,2,4,2
43,2,2,4,2,1,4,2
44,2,1,4,1,1,4,2
45,2,1,3,7,2,2,1
46,2,4,5,6,2,2,2
47,2,2,4,5,3,2,2
48,3,2,5,9,6,2,2
49,3,2,5,8,5,0,2
50,3,2,4,6,4,0,3
51,2,4,3,2,3,6,3
52,2,4,2,2,3,2,2
53,1,2,4,1,1,6,3
54,5,2,3,2,3,4,2
55,5,2,3,2,2,5,2
56,5,2,6,2,1,4,3
57,3,2,4,2,5,2,2
58,2,2,5,2,6,2,2
59,2,0,5,2,6,2,2
60,5,2,2,3,5,2,4
61,5,2,7,3,6,2,4
62,5,2,7,3,6,2,2
63,3,7,4,3,6,2,2
64,2,8,3,2,9,2,1
65,3,7,3,3,8,2,4
66,2,5,7,3,3,4,4
67,3,5,5,3,1,3,4
68,2,5,5,3,3,4,4
69,3,2,6,2,4,2,1
70,4,2,4,2,4,2,0
71,3,2,6,1,4,3,2
72,13,4,5,3,1,2,2
73,13,4,4,3,3,2,0
74,13,4,4,3,1,2,1
75,5,4,2,5,3,1,2
76,6,4,3,4,2,2,3
77,9,4,6,3,5,1,2
78,3,2,3,3,2,2,2
79,5,2,4,3,0,1,2
80,3,2,1,3,6,0,2
81,5,2,3,2,2,2,2
82,5,2,4,6,3,1,2
83,4,4,5,7,4,2,2
84,3,4,1,7,2,2,2
85,3,4,2,7,2,3,2
86,3,2,2,7,2,2,0
87,2,2,5,5,2,4,1
88,2,6,2,3,2,1,1
89,2,2,4,4,2,0,1
90,2,6,3,2,2,4,2
91,2,5,3,2,1,4,2
92,2,6,4,0,2,4,2
93,2,2,4,2,3,2,2
94,4,2,5,2,1,1,0
95,2,2,6,2,4,0,2
96,2,8,5,2,4,4,1
97,3,8,4,2,4,5,2
98,2,8,3,2,3,1,1
99,4,2,5,2,2,2,2
100,4,4,5,0,2,2,2
101,4,1,4,1,3,2,2
102,2,2,2,0,9,1,1
103,0,2,5,2,5,2,2
104,2,1,4,1,1,2,2
105,4,4,3,2,2,2,2
106,4,4,3,2,1,3,1
107,4,4,3,2,2,1,2
108,3,4,3,2,3,1,2
109,4,2,2,2,4,1,2
110,0,2,3,2,4,1,1
111,7,3,4,2,3,1,2
112,7,3,5,3,3,1,2
113,7,3,4,3,3,2,1
114,2,5,3,3,3,2,2
115,1,5,3,3,3,2,2
116,1,5,2,2,3,3,2
117,3,2,6,3,2,3,5
118,2,0,6,3,2,3,6
119,2,1,6,3,1,3,6
120,2,2,3,2,9,3,0
121,6,2,2,2,9,4,0
122,7,2,3,0,8,1,0
123,7,2,4,1,2,2,1
124,2,2,5,2,2,1,2
125,2,2,3,2,2,1,2
126,4,3,5,2,2,2,0
127,4,3,5,2,1,2,2
128,4,3,4,2,1,2,1
129,4,3,3,2,2,4,3
130,4,3,5,2,2,3,0
131,4,3,3,0,2,2,0
132,3,1,3,3,2,2,2
133,3,2,5,4,2,1,2
134,3,4,4,4,2,2,2
135,2,3,5,5,1,2,2
136,0,2,6,4,0,0,2
137,2,3,6,3,2,3,2
138,2,3,3,3,4,2,2
139,2,3,5,3,4,1,2
140,3,4,2,3,3,2,1
141,5,3,3,2,3,2,1
142,5,4,3,2,3,2,2
143,5,4,3,3,3,2,2
144,2,2,4,4,2,2,2
145,3,1,3,3,2,3,2
146,5,1,3,3,2,4,2
147,3,5,2,2,3,5,2
148,2,5,1,2,3,7,2
149,2,5,3,1,3,4,0
150,2,5,5,4,3,5,2
151,2,4,5,5,3,4,2
152,2,4,5,3,2,2,2
153,2,4,4,2,3,2,2
154,3,5,4,2,3,2,2
155,2,4,4,4,1,2,2
156,8,2,3,4,4,1,1
157,7,2,2,4,3,1,1
158,4,2,3,1,2,1,1
159,7,2,3,2,2,1,1
160,8,0,3,3,2,1,1
161,8,2,4,2,1,3,1
162,3,4,6,2,3,4,1
163,3,4,6,2,3,4,1
164,2,4,11,1,2,3,1
165,5,5,3,4,3,4,1
166,5,6,3,4,3,5,1
167,5,4,2,4,3,2,1
